Navn,Adresse,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon,Årsomsætning,Overskud,Lønomkostninger_Administrativt,Lønomkostninger_Personale,Omkostninger_til_ikke_fastansat_personale,Soliditetsgrad,Procentmæssigt_overskud_i_forhold_til_omsætningen,Samlede_lønomkostninger_i_forhold_til_omsætningen,Ejendomsomkostninger_i_forhold_til_omsætningen,Personalegennemstrømningen_på_tilbuddet,Virksomhedsform,CVR,Virksomhedens_navn,Tilsynsførende_myndighed,Driftsherre,latitude,longitude,kommune
Sofiendal (BostedDanmark),"Sofiendalsvej 11
    

    4690 Haslev","Godkendt
        16-11-2024","2.215,19 - 6.644,61 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108","5 - Aktivitets- og samværstilbud, § 104
                
            
                
                    5 - Botilbud til længerevarende ophold, § 108","5 pladser -
                Kontakt afdelingen om ledige pladser",René Keldorff,rene@bosteddanmark.dk,26747191,37.312.180 kr.,2.316.690 kr.,1.229.733 kr.,22.246.187 kr.,130.436 kr.,36 %,"6,21 %","72,52 %",6 %,13 %,Anpartsselskab,38234722,BostedDanmark ApS,Socialtilsyn Hovedstaden,Tilbuddet selv,55.329653,11.965296,Faxe Kommune
"Afdeling DB (Nørholm, Specialområde Udviklingshandicap)","Allingevej 2
    

    7400 Herning","Godkendt
        22-08-2024",312 - 312 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","20 - Aktivitets- og samværstilbud, § 104
                
            
                
                    2 - Beskyttet beskæftigelsestilbud, § 103","2 pladser -
                Kontakt afdelingen om ledige pladser",Bente Mills,benmis@rm.dk,30692943,57.842.000 kr.,1.731.000 kr.,2.144.000 kr.,34.986.000 kr.,885.000 kr.,,"2,99 %","69,51 %","9,14 %","33,3 %",Region,29190925,Region Midtjylland,5798002796292,Tilbuddet selv,56.152363,8.986902,Herning Kommune
Utterslev Gl.Skole (Botilbud Utterslev Gamle Skole),"Bøgetvej 59
    

    4913 Horslunde","Godkendt
        10-04-2025","2.292,46 - 2.292,46 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til midlertidige ophold, § 107","0 - Aktivitets- og samværstilbud, § 104
                
            
                
                    9 - Botilbud til midlertidige ophold, § 107","0 pladser -
                Kontakt afdelingen om ledige pladser",Henrik Romme,Henrik.Romme@utterslev-gl-skole.dk,29783563,14.855.988 kr.,808.880 kr.,227.128 kr.,7.242.478 kr.,1.699.463 kr.,69 %,"5,44 %","68,72 %","9,73 %",11 %,Øvrige virksomhedsformer,32804489,Botilbud Utterselv Gamle Skole,Socialtilsyn Øst,Tilbuddet selv,54.931411,11.193898,Lolland Kommune
"Globen Vester Hornum Produktion §§103 /104 (Globen og Senhjerneskade, Vesthimmerland)","Hovedgaden 83
    

    9640 Farsø","Godkendt
        29-11-2024",1.137 - 1.137 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","4 - Aktivitets- og samværstilbud, § 104
                
            
                
                    27 - Beskyttet beskæftigelsestilbud, § 103","4 pladser -
                Kontakt afdelingen om ledige pladser",Kenneth Christensen,kbc@vesthimmerland.dk,21639068,,,,,,,,,,,Primærkommune,29189471,Vesthimmerlands Kommune,5798004133217,Tilbuddet selv,56.837666,9.358933,Vesthimmerlands Kommune
Botilbuddet Rydehjemmet (Center for Handicap),"Rydevej 10
    

    7830 Vinderup","Godkendt
        19-08-2024",202 - 684 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","19 - Aktivitets- og samværstilbud, § 104
                
            
                
                    19 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","19 pladser -
                Kontakt afdelingen om ledige pladser",Hanne Majdecki,Hanne.Majdecki@holstebro.dk,96115047,163.715.303 kr.,-4.907.365 kr.,1.257.522 kr.,107.110.850 kr.,14.017.379 kr.,,-3 %,"77,81 %","3,8 %","35,5 %",Primærkommune,29189927,Holstebro Kommune,5798004623398,Tilbuddet selv,56.438254,8.770013,Holstebro Kommune
Habitus Huset Nørkær (Habitus Husene Fjelsted),"Nørkær 30
    

    9480 Løkken","Godkendt
        16-05-2024","1.933,76 - 15.155,24 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104","1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    1 - Aktivitets- og samværstilbud, § 104","1 pladser -
            ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,78.293.856 kr.,5.543.833 kr.,1.331.314 kr.,44.552.175 kr.,3.608.590 kr.,"25,5 %","7,08 %","68,73 %",4 %,"40,21 %",Anpartsselskab,32082831,Habitus Bo- og Dagtilbud ApS,Socialtilsyn Hovedstaden,HabitusHusene Nordjylland ApS,57.346535,9.787657,Hjørring Kommune
Thy Skovservice (Elmelund),"Hanstholmvej 53A
    

    7700 Thisted","Godkendt
        26-05-2025","442,66 - 452,51 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","9 - Aktivitets- og samværstilbud, § 104
                
            
                
                    2 - Beskyttet beskæftigelsestilbud, § 103","2 pladser -
                Kontakt afdelingen om ledige pladser",Alice Margrethe Thomsen,alice@elmelund-jbf.dk,97912423,18.295.076 kr.,-255.339 kr.,2.097.654 kr.,9.365.038 kr.,80.571 kr.,"54,9 %","-1,4 %","66,17 %","17,16 %","7,3 %",Øvrige virksomhedsformer,19185001,Den selvejende institution Elmelund,Socialtilsyn Nord,Tilbuddet selv,57.046999,8.675707,Thisted Kommune
Dagtilbuddet KopITryk (Dag og døgntilbuddet Solbakken),"Engtoften 5
    

    8260 Viby J","Godkendt
        29-10-2024","768,92 - 768,92 kr.","Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104","7 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    2 - Aktivitets- og samværstilbud, § 104","2 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 1 pladser forbeholdt beboere på botilbuddet",Flemming Lehm,fll@solbakkensnet.dk,20786731,51.995.917 kr.,1.625.027 kr.,858.244 kr.,33.456.863 kr.,5.183.409 kr.,"0,75 %","3,13 %","82,54 %",4 %,"21,77 %",Fonde og andre selvejende institutioner,48034268,Solbakken,Socialtilsyn Midt,Tilbuddet selv,56.122729,10.167422,Aarhus Kommune
Naturværkstedet (Center for Handicap),"Grønnevang 12
    

    7500 Holstebro","Godkendt
        19-08-2024",335 - 633 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","12 - Aktivitets- og samværstilbud, § 104
                
            
                
                    4 - Beskyttet beskæftigelsestilbud, § 103","4 pladser -
                Kontakt afdelingen om ledige pladser",Anja Toftgaard,Anja.Toftgaard@holstebro.dk,96115041,163.715.303 kr.,-4.907.365 kr.,1.257.522 kr.,107.110.850 kr.,14.017.379 kr.,,-3 %,"77,81 %","3,8 %","35,5 %",Primærkommune,29189927,Holstebro Kommune,5798004623398,Tilbuddet selv,56.371492,8.779013,Holstebro Kommune
Anneks 2 (Fonden Botilbudet Græskobbel),"Græskobbel 19
    

    6440 Augustenborg","Godkendt
        01-04-2025","0 - 19.435,77 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104","7 - Botilbud til midlertidige ophold, § 107
                
            
                
                    0 - Botilbud til længerevarende ophold, § 108
                
            
                
                    7 - Aktivitets- og samværstilbud, § 104","0 pladser -
                Kontakt afdelingen om ledige pladser",Dan Hansen,graeskobbel19@gmail.com,64659123,28.024.259 kr.,904.220 kr.,539.756 kr.,18.037.746 kr.,2.230.369 kr.,"87,3 %","3,23 %","79,39 %","4,1 %",34 %,Øvrige virksomhedsformer,27842941,Fonden Botilbudet Græskobbel,Socialtilsyn Syd,Tilbuddet selv,54.978261,9.999552,Sønderborg Kommune
Better Life Botilbud Store Heddinge,"Skovvejen 10
    

    4660 Store Heddinge","Godkendt
        15-11-2024","587,66 - 10.039,9 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","6 - Aktivitets- og samværstilbud, § 104
                
            
                
                    2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    2 - Botilbud til længerevarende ophold, § 108","2 pladser -
                Kontakt afdelingen om ledige pladser",Frank Carsten Lund,kontakt@betterlife85.dk,61150085,,,,,,,,,,,Anpartsselskab,44658860,Better Life Botilbud ApS,Socialtilsyn Øst,Tilbuddet selv,55.312182,12.364972,Stevns Kommune
Bodelen (Specialtilbud Grevenlundsvej),"Grevenlundsvej 20
    

    5220 Odense SØ","Godkendt
        19-07-2023",1.779 - 5.366 kr.,"Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","18 - Botilbud til længerevarende ophold, § 108
                
            
                
                    0 - Aktivitets- og samværstilbud, § 104
                
            
                
                    0 - Beskyttet beskæftigelsestilbud, § 103","18 pladser -
            ingen ledige",Ulla Merethe Leth,ulle@odense.dk,29499319,,,,,,,,,,,Primærkommune,35209115,Odense Kommune,5798006612734,Tilbuddet selv,55.38469,10.471971,Odense Kommune
"Bostedet ""Dyssemosen's Fond""","Dyssemosevej 9
    

    4760 Vordingborg","Godkendt med vilkår
        13-11-2024","748,89 - 2.130,93 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","8 - Aktivitets- og samværstilbud, § 104
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    6 - Botilbud til længerevarende ophold, § 108","8 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 7 pladser forbeholdt beboere på botilbuddet",Gitte Helle Helles,kontakt@bostedetdyssemosen.dk,40285918,,,,,,,,,,,Øvrige virksomhedsformer,26634989,"Bostedet ""Dysemosen's Fond"" S/I",Socialtilsyn Øst,Tilbuddet selv,55.064179,11.91284,Vordingborg Kommune
Bostedet Landlyst (S/I Fonden Buddumhuse (Landlyst)),"Buddumvej 40
    

    9560 Hadsund","Godkendt med vilkår
        04-04-2025","0 - 3.334,23 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107
            
        
            
                Aktivitets- og samværstilbud, § 104","6 - Botilbud til længerevarende ophold, § 108
                
            
                
                    2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    8 - Aktivitets- og samværstilbud, § 104","6 pladser -
            ingen ledige",Poul Bo Nielsen,info@fondenlandlyst.dk,96182055,32.166.684 kr.,-542.492 kr.,1.821.405 kr.,24.793.879 kr.,427.782 kr.,"51,86 %","-1,69 %","88,45 %","4,03 %","20,45 %",Øvrige virksomhedsformer,27600646,S/I Fonden Buddumhuse  (Landlyst),Socialtilsyn Nord,Tilbuddet selv,56.747135,10.249205,Mariagerfjord Kommune
Botibuddet Hyldgården hus 1-3-5 (Center for Handicap),"Mellemtoft 1
    

    7500 Holstebro","Godkendt
        19-08-2024",427 - 729 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104","26 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    20 - Aktivitets- og samværstilbud, § 104","26 pladser -
                Kontakt afdelingen om ledige pladser",Gitte Margareta Tovborg Cramer,Gitte.Cramer@holstebro.dk,96116501,163.715.303 kr.,-4.907.365 kr.,1.257.522 kr.,107.110.850 kr.,14.017.379 kr.,,-3 %,"77,81 %","3,8 %","35,5 %",Primærkommune,29189927,Holstebro Kommune,5798004623398,Tilbuddet selv,56.356471,8.669705,Holstebro Kommune
Habitus Huset Ahornvej (Habitus Huset Kæderupvej),"Kæderupvej 6B
    

    3200 Helsinge","Godkendt
        22-04-2025","1.933,76 - 11.462,31 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    2 - Aktivitets- og samværstilbud, § 104
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107","2 pladser -
            ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,46.178.858 kr.,3.895.289 kr.,484.740 kr.,24.937.259 kr.,4.304.297 kr.,"29,8 %","8,44 %","68,97 %","5,3 %","24,3 %",Anpartsselskab,32082831,Habitus Bo- og Dagtilbud ApS,Socialtilsyn Hovedstaden,HabitusHuset Kæderupvej ApS,56.00971,12.235486,Gribskov Kommune
Habitus Huset Kæderupvej 6B (Habitus Huset Kæderupvej),"Kæderupvej 6B
    

    3200 Helsinge","Godkendt
        22-04-2025","1.933,76 - 10.489,23 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104","6 - Botilbud til midlertidige ophold, § 107
                
            
                
                    4 - Botilbud til længerevarende ophold, § 108
                
            
                
                    10 - Aktivitets- og samværstilbud, § 104","4 pladser -
                Kontakt afdelingen om ledige pladser",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,46.178.858 kr.,3.895.289 kr.,484.740 kr.,24.937.259 kr.,4.304.297 kr.,"29,8 %","8,44 %","68,97 %","5,3 %","24,3 %",Anpartsselskab,32082831,Habitus Bo- og Dagtilbud ApS,Socialtilsyn Hovedstaden,HabitusHuset Kæderupvej ApS,56.00971,12.235486,Gribskov Kommune
Habitus Huset Løgtvedvej (Habitus Huset Skellebjerg),"Løgtvedvej 5A
    

    4450 Jyderup","Godkendt
        24-01-2024","1.933,76 - 13.616,44 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107
            
        
            
                Aktivitets- og samværstilbud, § 104","2 - Botilbud til længerevarende ophold, § 108
                
            
                
                    0 - Botilbud til midlertidige ophold, § 107
                
            
                
                    2 - Aktivitets- og samværstilbud, § 104","2 pladser -
            ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,25257069,53.353.028 kr.,1.948.429 kr.,588.400 kr.,33.035.188 kr.,2.629.338 kr.,"30,6 %","3,65 %","71,66 %","4,8 %","38,67 %",Anpartsselskab,32082831,Habitus Bo- og Dagtilbud ApS,Socialtilsyn Hovedstaden,HabitusHuset Skellebjerg ApS,55.588639,11.349104,Kalundborg Kommune
Habitus Huset Sølyst,"Klintevej 29
    

    4654 Faxe Ladeplads","Godkendt
        06-03-2025","1.933,76 - 10.303,2 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104","5 - Botilbud til midlertidige ophold, § 107
                
            
                
                    6 - Botilbud til længerevarende ophold, § 108
                
            
                
                    11 - Aktivitets- og samværstilbud, § 104","6 pladser -
                Kontakt afdelingen om ledige pladser",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,36.141.048 kr.,2.102.384 kr.,267.464 kr.,19.720.538 kr.,3.284.926 kr.,"28,3 %","5,82 %","68,78 %","6,8 %","41,1 %",Anpartsselskab,32082831,Habitus Bo- og Dagtilbud ApS,Socialtilsyn Hovedstaden,HabitusHuset Sølyst ApS,55.219572,12.176783,Faxe Kommune
HabitusHuset Sct. Mortensgaard,"Oddesundvej 249 11
    

    7760 Hurup Thy","Godkendt
        08-11-2024","1.933,76 - 10.110,49 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","10 - Aktivitets- og samværstilbud, § 104
                
            
                
                    5 - Botilbud til midlertidige ophold, § 107
                
            
                
                    5 - Botilbud til længerevarende ophold, § 108","5 pladser -
                Kontakt afdelingen om ledige pladser",Elizabeth Haizmann Bergstrøm,ehb@habitus.dk,20610241,,,,,,,,,,,Anpartsselskab,32082831,Habitus Bo- og Dagtilbud ApS,Socialtilsyn Hovedstaden,HabitusHusene Nordjylland ApS,56.709583,8.413747,Thisted Kommune
Hytterkroggaard (BostedDanmark),"Egedevej 185
    

    4690 Haslev","Godkendt
        16-11-2024","2.133,14 - 6.399,43 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","7 - Aktivitets- og samværstilbud, § 104
                
            
                
                    6 - Botilbud til længerevarende ophold, § 108
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107","1 pladser -
            ingen ledige",René Keldorff,rene@bosteddanmark.dk,26747191,37.312.180 kr.,2.316.690 kr.,1.229.733 kr.,22.246.187 kr.,130.436 kr.,36 %,"6,21 %","72,52 %",6 %,13 %,Anpartsselskab,38234722,BostedDanmark ApS,Socialtilsyn Hovedstaden,Tilbuddet selv,55.301053,12.04904,Faxe Kommune
Katrinehaven,"Katrinehaven 1, st.  62
    

    8800 Viborg","Godkendt
        15-05-2025",452 - 8.347 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104","0 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
                
            
                
                    0 - Botilbud til længerevarende ophold, § 108
                
            
                
                    0 - Aktivitets- og samværstilbud, § 104","0 pladser -
            ingen ledige",Lilli Ane Urup,liu@viborg.dk,87877325,50.710.699 kr.,2.611.271 kr.,1.622.412 kr.,"34.104.417,24 kr.",3.882.655 kr.,,"5,15 %","82,51 %","2,69 %","13,9 %",Primærkommune,29189846,Viborg Kommune,5798004556504,Tilbuddet selv,,,
Kirketerp Gamle Skole (Bo- og Behandlingscenter Blokhus),"Kirketerpvej 47
    

    9541 Suldrup","Godkendt
        15-05-2024","469,61 - 3.293,33 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","16 - Aktivitets- og samværstilbud, § 104
                
            
                
                    6 - Botilbud til længerevarende ophold, § 108
                
            
                
                    10 - Botilbud til midlertidige ophold, § 107","6 pladser -
                Kontakt afdelingen om ledige pladser",Gitte Simonsen,gitte@bobeh-blokhus.dk,26355594,19.613.182 kr.,635.647 kr.,973.753 kr.,10.453.964 kr.,700.140 kr.,"47,1 %","3,24 %","71,98 %","8,9 %","11,11 %",Fonde og andre selvejende institutioner,32409946,Fond Bo- og behandlingscenter Blokhus,Socialtilsyn Nord,Tilbuddet selv,56.88813,9.672656,Rebild Kommune
Landsbyen Sølund,"Dyrehaven 10
    

    8660 Skanderborg","Godkendt
        21-06-2024",447 - 4.671 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108","198 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
                
            
                
                    193 - Aktivitets- og samværstilbud, § 104
                
            
                
                    41 - Botilbud til længerevarende ophold, § 108","41 pladser -
            ingen ledige",Mette Hjøllund,solund@skanderborg.dk,23461459,,,,,,,,,,,Primærkommune,29189633,Skanderborg kommune,5798005721758,Tilbuddet selv,56.028221,9.920048,Skanderborg Kommune
Rockthepony Bosted,"Ladegårdsskov 14
    

    5560 Aarup","Godkendt
        17-12-2024","10.489,23 - 22.180,5 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","4 - Aktivitets- og samværstilbud, § 104
                
            
                
                    0 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107","1 pladser -
                Kontakt afdelingen om ledige pladser",Anne Kirstine Søndergaard,anne_kirz@hotmail.com,51884966,,,,,,,,,,,Anpartsselskab,43720155,RockThePony Bosted ApS,Socialtilsyn Syd,Tilbuddet selv,55.372177,10.082722,Assens Kommune
"Rosengården, Vardevej 45 (Center for Socialpsykiatri, ADHD og Autisme)","Vardevej 45
    

    6900 Skjern","Godkendt
        16-01-2025",303 - 2.227 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
            
        
            
                Botilbud til midlertidige ophold, § 107","32 - Aktivitets- og samværstilbud, § 104
                
            
                
                    10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
                
            
                
                    18 - Botilbud til midlertidige ophold, § 107","10 pladser -
                Kontakt afdelingen om ledige pladser",Tina Ebdrup Lundorff Skole,tina.ebdrup@rksk.dk,20614690,23.171.344 kr.,-1.739.297 kr.,718.314 kr.,14.844.034 kr.,1.377.841 kr.,,"-7,51 %","78,86 %","8,45 %","17,7 %",Primærkommune,29189609,Ringkøbing-Skjern Kommune,5798004734735,Tilbuddet selv,55.939659,8.501221,Ringkøbing-Skjern Kommune
SOLHJORTEN DAGCENTER OG SOLHJORTEN SFO,"Kålundsvej 24
    

    3520 Farum","Godkendt
        01-03-2017","404,42 - 1.717,2 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Særlige klubtilbud, § 82, jf. § 84
            
        
            
                Særlige dagtilbud, § 82, jf. § 83","20 - Aktivitets- og samværstilbud, § 104
                
            
                
                    15 - Særlige klubtilbud, § 82, jf. § 84
                
            
                
                    15 - Særlige dagtilbud, § 82, jf. § 83","15 pladser -
                Kontakt afdelingen om ledige pladser",René Jakobsen,adm@solhjorten.dk,44954650,,,,,,,,,,,Øvrige virksomhedsformer,26359007,SOLHJORTEN,Furesø Kommune,Tilbuddet selv,55.807593,12.355755,Furesø Kommune
Stribehus,"Skolevang 2
    

    4060 Kirke Såby","Godkendt
        03-02-2025","2.229,5 - 6.688,49 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til midlertidige ophold, § 107","5 - Botilbud til længerevarende ophold, § 108
                
            
                
                    5 - Aktivitets- og samværstilbud, § 104
                
            
                
                    0 - Botilbud til midlertidige ophold, § 107","5 pladser -
            ingen ledige",Malene Andersen,kontakt@stribehus.dk,23438374,,,,,,,,,,,Anpartsselskab,38148338,Stribehus ApS,Socialtilsyn Øst,Tilbuddet selv,55.650406,11.821072,Lejre Kommune
§85 støtte i botilbud (Lene Bredahls Gade),"Lene Bredahls Gade 9
    

    8900 Randers C","Godkendt
        02-07-2024",121 - 3.350 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
            
        
            
                Aktivitets- og samværstilbud, § 104","24 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
                
            
                
                    0 - Aktivitets- og samværstilbud, § 104","24 pladser -
                Kontakt afdelingen om ledige pladser",Mette Birkmose Christensen,mettebirkmose@randers.dk,28499391,,,,,,,,,,,Primærkommune,29189668,Randers Kommune,5798004294277,Tilbuddet selv,56.461886,10.046354,Randers Kommune
Afd. Mejseparken (Kraphusene),"Juelsmindevej 11
    

    5463 Harndrup","Godkendt
        16-04-2025","7.159,77 - 17.553,6 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104","0 - Botilbud til midlertidige ophold, § 107
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    1 - Aktivitets- og samværstilbud, § 104","1 pladser -
                Kontakt afdelingen om ledige pladser",Casper Johnsen,cjoh@kraphusene.dk,48888180,,,,,,,,,,,Anpartsselskab,43004808,Kraphusene ApS,Socialtilsyn Syd,Tilbuddet selv,55.462196,10.014377,Middelfart Kommune
Bakkehuset,"Ternevej 2
    

    6920 Videbæk","Godkendt
        15-05-2025",2.420 - 6.141 kr.,"Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","2 - Botilbud til længerevarende ophold, § 108
                
            
                
                    45 - Aktivitets- og samværstilbud, § 104
                
            
                
                    36 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","2 pladser -
                Kontakt afdelingen om ledige pladser",Trine Kristensen,trine.kristensen@rksk.dk,61811144,,,,,,,,,,,Primærkommune,29189609,Ringkøbing-Skjern Kommune,5798004735534,Tilbuddet selv,56.086724,8.618801,Ringkøbing-Skjern Kommune
Birkehuset - botilbud til unge voksne med synsnedsættelse og yderligere funktionsnedsættelse (Synscenter Refsnæs),"Kystvejen 112A
    

    4400 Kalundborg","Godkendt
        02-12-2024",1.824 - 4.179 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108","2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    8 - Aktivitets- og samværstilbud, § 104
                
            
                
                    6 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108","6 pladser -
            ingen ledige",Susanne Tina Johansen,sutj@regionsjaelland.dk,30459563,43.847.271 kr.,1.746.470 kr.,2.232.024 kr.,24.012.362 kr.,2.567.266 kr.,,"3,98 %","70,14 %","5,17 %","18,03 %",Region,29190658,Region Sjælland,5798002004724,Tilbuddet selv,55.68897,11.045239,Kalundborg Kommune
Bo- og aktivitetstilbuddet Skovlund,"Skejbygårdsvej 37
    

    8240 Risskov","Godkendt
        09-04-2025",454 - 3.316 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108","14 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
                
            
                
                    23 - Aktivitets- og samværstilbud, § 104
                
            
                
                    14 - Botilbud til længerevarende ophold, § 108",ingen ledige,Kasper Baunhøj Christiansen,cbv@msb.aarhus.dk,41857304,,,,,,,,,,,Primærkommune,55133018,Aarhus Kommune,5798005778943,Tilbuddet selv,56.196248,10.199767,Aarhus Kommune
