Navn,Adresse,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon,Årsomsætning,Overskud,Lønomkostninger_Administrativt,Lønomkostninger_Personale,Omkostninger_til_ikke_fastansat_personale,Soliditetsgrad,Procentmæssigt_overskud_i_forhold_til_omsætningen,Samlede_lønomkostninger_i_forhold_til_omsætningen,Ejendomsomkostninger_i_forhold_til_omsætningen,Personalegennemstrømningen_på_tilbuddet,latitude,longitude
Enhed for handicap - Rosenkildevej 97,"Rosenkildevej 97A
    

    4200 Slagelse","Godkendt
        02-08-2024",368 - 741 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","30 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","30 pladser -
            ingen ledige",Tina Hedegaard,tihed@slagelse.dk,21676155,,,,,,,,,,,55.423854,11.364604
"Afdeling Gl. Tåstrupvej (Den Selvejende Institution Ungdomskollegiet "" Rosenvænget"")","Rosenvænget 6
    

    4300 Holbæk","Godkendt
        24-10-2024","1.198,22 - 1.198,22 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","2 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    2 - Botilbud til midlertidige ophold, § 107","2 pladser -
                Kontakt afdelingen om ledige pladser",David Lohmann,kontakt@rosenvaenget.dk,27153030,6.027.474 kr.,413.087 kr.,0 kr.,2.768.728 kr.,0 kr.,"93,3 %","6,85 %","58,36 %","9,4 %",0 %,55.70805,11.715221
"Afdeling Rosenvænget (Den Selvejende Institution Ungdomskollegiet "" Rosenvænget"")","Rosenvænget 6
    

    4300 Holbæk","Godkendt
        24-10-2024","1.491,1 - 1.493,01 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    6 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","6 pladser -
                Kontakt afdelingen om ledige pladser",David Lohmann,kontakt@rosenvaenget.dk,27153030,6.027.474 kr.,413.087 kr.,0 kr.,2.768.728 kr.,0 kr.,"93,3 %","6,85 %","58,36 %","9,4 %",0 %,55.70805,11.715221
Trin 3 - Holbæk (Malthesminde Bo- og Uddannelsesstøtte),"Roskildevej 17D, st.  mf
    

    4300 Holbæk","Godkendt
        29-01-2025","1.808,78 - 1.808,78 kr.","Botilbud til midlertidige ophold, § 107","4 - Botilbud til midlertidige ophold, § 107","4 pladser -
            ingen ledige",Jesper Mortensen,jesper@malthesminde.dk,23236535,6.586.714 kr.,521.779 kr.,2.498 kr.,2.884.589 kr.,292.939 kr.,71 %,"7,92 %","60,43 %","17,43 %",33 %,,
Afdeling Rud Kirkevej (Fonden Føniks),"Rud Kirkevej 1
    

    8370 Hadsten","Godkendt
        30-04-2024","3.034,67 - 3.034,67 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    11 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","11 pladser -
                Kontakt afdelingen om ledige pladser",Rasmus Olufson,rasmus@fonden-foeniks.dk,40116052,35.886.000 kr.,-1.200.000 kr.,1.786.000 kr.,16.071.000 kr.,3.779.000 kr.,"27,2 %","-3,34 %","73,37 %","11,9 %","12,5 %",56.36196,10.127085
"Toruplund (Specialområde Autisme, Hedensted)","Rugmarken 1 1
    

    8722 Hedensted","Godkendt
        14-03-2024",1.546 - 1.546 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","9 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","9 pladser -
                Kontakt afdelingen om ledige pladser",Sanne Frølund,safroe@rm.dk,24753799,75.111.000 kr.,-478.000 kr.,1.297.000 kr.,44.824.000 kr.,4.195.000 kr.,,"-0,64 %","72,37 %","7,33 %","42,7 %",55.7592265,9.7010513
HabitusHuset Stentegård (HabitusHusene Toreby),"Runestensvej 13
    

    4970 Rødby","Godkendt
        21-03-2025","23.564,75 - 23.564,75 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
                Kontakt afdelingen om ledige pladser",Elizabeth Haizmann Bergstrøm,ehb@habitus.dk,20610241,,,,,,,,,,,54.717586,11.36228
Gutfeldtshave,"Rungstedvej 6
    

    2970 Hørsholm","Godkendt
        06-03-2025",1.169 - 1.169 kr.,"Botilbud til midlertidige ophold, § 107","7 - Botilbud til midlertidige ophold, § 107","7 pladser -
                Kontakt afdelingen om ledige pladser",Inge-Lise Karvinen,ilk@horsholm.dk,48494151,,,,,,,,,,,55.878549,12.502649
IBOS  Botilbud (Instituttet for Blinde og Svagsynede),"Rymarksvej 1
    

    2900 Hellerup","Godkendt
        28-06-2024",1.366 - 2.276 kr.,"Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","22 - Botilbud til længerevarende ophold, § 108
                
            
                
                    11 - Botilbud til midlertidige ophold, § 107","11 pladser -
                Kontakt afdelingen om ledige pladser",Anna Öberg,zv1h@kk.dk,27524270,28.626.162 kr.,-2.952.615 kr.,3.218.511 kr.,15.165.415 kr.,573.709 kr.,,"-10,31 %","70,73 %","26,43 %",16 %,55.726387,12.563335
Rymarksvej 3B §108 (Botilbud ASPECT CSBB),"Rymarksvej 3
    

    2900 Hellerup","Godkendt
        25-04-2025",1.400 - 2.744 kr.,"Botilbud til længerevarende ophold, § 108","8 - Botilbud til længerevarende ophold, § 108","8 pladser -
            ingen ledige",Charlotte Daugaard,e798@kk.dk,27132615,37.642.744 kr.,-2.083.415 kr.,0 kr.,19.441.148 kr.,2.886.810 kr.,,"-5,53 %","63,74 %","15,49 %","19,3 %",55.726026,12.563342
Botilbud Rymarksvej 3 §107 (Botilbud ASPECT CSBB),"Rymarksvej 3
    

    2900 Hellerup","Godkendt
        25-04-2025","1.041,15 - 2.555 kr.","Botilbud til midlertidige ophold, § 107","19 - Botilbud til midlertidige ophold, § 107","19 pladser -
            ingen ledige",Charlotte Daugaard,e798@kk.dk,27132615,37.642.744 kr.,-2.083.415 kr.,0 kr.,19.441.148 kr.,2.886.810 kr.,,"-5,53 %","63,74 %","15,49 %","19,3 %",55.726026,12.563342
Safranvej (Bostederne Handicap Vest),"Safranvej 4
    

    8800 Viborg","Godkendt
        25-11-2024",680 - 1.994 kr.,"Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    11 - Botilbud til midlertidige ophold, § 107","1 pladser -
            ingen ledige",Birgith Bondekjær Langballe,bil@viborg.dk,40179388,3.338.390 kr.,18.252 kr.,112.129 kr.,1.426.269 kr.,286.665 kr.,,"0,55 %","63,62 %","14,25 %",0 %,56.474783,9.393164
Kildebjerget,"Sanatorievej 1
    

    7140 Stouby","Godkendt
        26-03-2025","712,45 - 2.440 kr.","Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Botilbud til midlertidige ophold, § 107","15 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    32 - Botilbud til midlertidige ophold, § 107","32 pladser -
                Kontakt afdelingen om ledige pladser",Klavs Hansen,Klavs.T.Hansen@Hedensted.dk,29162547,23.434.950 kr.,-216.697 kr.,1.904.233 kr.,14.570.943 kr.,2.386.454 kr.,,"-0,92 %","83,26 %","5,5 %","28,6 %",55.692337,9.772789
Lykkebo Odense,"Sanderumvej 134G
    

    5250 Odense SV","Godkendt
        04-12-2024",2.385 - 2.385 kr.,"Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","2 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    2 - Botilbud til midlertidige ophold, § 107","2 pladser -
                Kontakt afdelingen om ledige pladser",Minnie Henriette Elisabeth Andersen,ma@lykkebo-odense.dk,50365109,,,,,,,,,,,55.368207,10.331744
Bofællesskaber Team Midt,"Sandvejen 50
    

    8600 Silkeborg","Godkendt
        13-02-2025",431 - 875 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 pladser -
            ingen ledige",Vinnie Binderup,vinniemygind.binderup@silkeborg.dk,21791320,3.926.016 kr.,-1.031.745 kr.,84.629 kr.,3.830.133 kr.,0 kr.,,"-26,28 %","104,21 %","4,9 %",20 %,56.180718,9.536435
Autismecenter Syd - Funkevej,"Savværksvej 52
    

    6230 Rødekro","Godkendt
        21-06-2024",944 - 1.499 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
            
        
            
                Botilbud til midlertidige ophold, § 107","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
                
            
                
                    2 - Botilbud til midlertidige ophold, § 107","2 pladser -
            ingen ledige",Kirsten Friis Koch,kfkoc@aabenraa.dk,24969957,,,,,,,,,,,55.070227,9.327752
Autismecenter Syd - Skovbo 50 (Autismecenter Syd - Skovbo 50 og 58),"Savværksvej 52
    

    6230 Rødekro","Godkendt
        23-04-2024",1.003 - 4.227 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","4 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","4 pladser -
            ingen ledige",Rita Solveig Elsborg,rsel@aabenraa.dk,20260982,,,,,,,,,,,55.070227,9.327752
Autismecenter Syd - Skovbo 54-56,"Savværksvej 52
    

    6230 Rødekro","Godkendt
        19-06-2024",1.669 - 2.401 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","14 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2",ingen ledige,Anders Ehlert,aehl@aabenraa.dk,30476043,,,,,,,,,,,55.070227,9.327752
Autismecenter Syd - Skovbo 58 (Autismecenter Syd - Skovbo 50 og 58),"Savværksvej 52
    

    6230 Rødekro","Godkendt
        23-04-2024",425 - 2.427 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","7 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","7 pladser -
            ingen ledige",Kirsten Friis Koch,kfko@aabenraa.dk,21282886,,,,,,,,,,,55.070227,9.327752
Habitus Huset Schæferivej (HabitusHuset Gødstrup),"Schæferivej 18
    

    7400 Herning","Godkendt
        24-04-2025","18.704,12 - 18.704,12 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
                Kontakt afdelingen om ledige pladser",Elizabeth Bergstrøm,ehb@habitus.dk,4525257069,19.507.786 kr.,-4.813.348 kr.,380.415 kr.,14.224.690 kr.,1.527.350 kr.,"-47,9 %","-24,67 %","92,33 %","11,7 %","35,71 %",56.194253,8.904692
Sdr. Borupvej (Fonden Chiligruppen),"Sdr. Borupvej 42
    

    8940 Randers SV","Godkendt
        07-04-2025","6.098,92 - 6.098,92 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","0 - Botilbud til midlertidige ophold, § 107
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108","1 pladser -
            ingen ledige",Jakob Salling,js@chiligruppen.dk,22197592,36.799.712 kr.,1.898.369 kr.,0 kr.,26.161.244 kr.,751.667 kr.,"1,34 %","5,16 %","77,43 %","5,6 %","2,5 %",56.410768,10.072001
"Fonden Værket, Segalt (Fonden Værket)","Segaltvej 451
    

    8541 Skødstrup","Godkendt
        12-11-2024","13.471,06 - 13.471,06 kr.","Botilbud til midlertidige ophold, § 107","1 - Botilbud til midlertidige ophold, § 107","1 pladser -
            ingen ledige",Anders Bech Nielsen,info@fonden-vaerket.dk,28666395,15.024.247 kr.,213.331 kr.,220.745 kr.,8.026.061 kr.,1.127.958 kr.,"84,29 %","1,42 %","73,44 %","13,73 %",22 %,56.286587,10.311757
Bofællesskabet Sejerøvej (Fonden Autismementor),"Sejerøvej 1 1
    

    3140 Ålsgårde","Godkendt
        20-12-2024","2.480,4 - 2.480,4 kr.","Botilbud til midlertidige ophold, § 107","4 - Botilbud til midlertidige ophold, § 107","4 pladser -
                Kontakt afdelingen om ledige pladser",Tina Nielsen,tina@autismementor.dk,60483449,9.966.980 kr.,526.868 kr.,101.726 kr.,5.117.004 kr.,444.268 kr.,80 %,"5,29 %","70,74 %","9,37 %",0 %,56.0786891,12.5262768
Habitus Huset Serritslevvej (HabitusHuset Børsholt),"Serritslevvej 262
    

    9740 Jerslev J","Godkendt
        30-03-2025","23.203,19 - 23.203,19 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
                Kontakt afdelingen om ledige pladser",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,18.355.493 kr.,-85.018 kr.,98.316 kr.,600.665 kr.,1.150.914 kr.,"-34,6 %","-0,46 %","20,14 %","8,5 %","14,81 %",57.311301,10.045804
Fonden Udsigten,"Silkeborgvej 502
    

    8220 Brabrand","Godkendt
        18-12-2024","3.209,26 - 3.209,26 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","4 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107","4 pladser -
            ingen ledige",Henning Løfwall,henning@fonden-udsigten.dk,61775607,13.927.074 kr.,586.061 kr.,125.446 kr.,7.292.770 kr.,1.863.210 kr.,61 %,"4,21 %","75,93 %","5,86 %","0,12 %",56.153741,10.142055
CFD Nyborg 105 (CFD Nyborg),"Skaboeshusevej 107
    

    5800 Nyborg","Godkendt
        31-05-2024","3.200,74 - 3.200,74 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","20 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","20 pladser -
            ingen ledige",Bettina Nielsen,bjn@cfd.dk,27282519,74.509.943 kr.,2.242.805 kr.,864.397 kr.,40.389.994 kr.,2.618.437 kr.,"78,3 %","3,01 %","66,49 %","8,4 %","22,9 %",55.331765,10.794435
Skovhuse,"Skaboeshusevej 108B
    

    5800 Nyborg","Godkendt
        12-02-2025",4.179 - 5.907 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
            
        
            
                Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","16 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
                
            
                
                    0 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","0 pladser -
                Kontakt afdelingen om ledige pladser",Annette Kjærgaard,annette.kjaergaard@rsyd.dk,23375526,,,,,,,,,,,55.342524,10.796661
Engbo Nyborg (Engbo Nyborg og Nordlys),"Skaboeshusevej 92
    

    5800 Nyborg","Godkendt
        04-02-2025",4.479 - 4.479 kr.,"Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","0 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    0 - Botilbud til midlertidige ophold, § 107
                
            
                
                    32 - Botilbud til længerevarende ophold, § 108","0 pladser -
            ingen ledige",Annette Kjærgaard,annette.kjaergaard@rsyd.dk,23375526,,,,,,,,,,,55.335496,10.796075
DEN SELVEJENDE INSTITUTION SØNDERMARKEN,"Skalsbjergvej 16A
    

    4200 Slagelse","Godkendt
        07-03-2025","2.298,06 - 3.484,23 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","7 - Botilbud til midlertidige ophold, § 107
                
            
                
                    2 - Botilbud til længerevarende ophold, § 108","7 pladser -
            ingen ledige",Rune Jensen,jurarune@hotmail.com,58584063,,,,,,,,,,,55.356084,11.388082
Enhed for Handicap Skanderborgvej 1A,"Skanderborgvej 1
    

    4200 Slagelse","Godkendt
        13-03-2025",368 - 751 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 pladser -
            ingen ledige",Sandie Makenhauer,samak@slagelse.dk,24460437,,,,,,,,,,,55.418849,11.362743
Lector Care - Knudsbjergvej (Lector Care),"Skanderborgvej 180
    

    8382 Hinnerup","Godkendt
        03-03-2025","4.610,68 - 10.017 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","0 - Botilbud til længerevarende ophold, § 108
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107","0 pladser -
                Kontakt afdelingen om ledige pladser",Anders Do Sørensen,As@LectorCare.dk,61404346,,,,,,,,,,,56.25255,10.031195
Lector Care - Skanderborgvej (Lector Care),"Skanderborgvej 180
    

    8382 Hinnerup","Godkendt
        03-03-2025","4.419,88 - 10.017 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til længerevarende ophold, § 108","0 - Botilbud til midlertidige ophold, § 107
                
            
                
                    5 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108","5 pladser -
                Kontakt afdelingen om ledige pladser",Anders Do Sørensen,as@LectorCare.dk,61404346,,,,,,,,,,,56.25255,10.031195
Lector Care- Overgårdsvej (Lector Care),"Skanderborgvej 180
    

    8382 Hinnerup","Godkendt
        03-03-2025","4.610,68 - 10.000,78 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","0 - Botilbud til midlertidige ophold, § 107
                
            
                
                    2 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","2 pladser -
                Kontakt afdelingen om ledige pladser",Anders Do Sørensen,As@LectorCare.dk,61404346,,,,,,,,,,,56.25255,10.031195
Team 1 - 3 (Skansen 1) (Bofællesskaberne Inge og Sofie Marie),"Skansen 1
    

    4100 Ringsted","Godkendt
        03-09-2024","2.154,13 - 3.429,63 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 pladser -
            ingen ledige",Rikke Christensen,ric@mariehjem.dk,57670750,55.917.481 kr.,1.089.469 kr.,1.503.100 kr.,33.304.176 kr.,4.379.593 kr.,-12 %,"1,95 %","79,91 %","6,2 %","5,1 %",55.450499,11.811267
Team 4 - 5 (Skansen 3) (Bofællesskaberne Inge og Sofie Marie),"Skansen 3
    

    4100 Ringsted","Godkendt
        03-09-2024","2.154,13 - 3.429,63 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 pladser -
            ingen ledige",Rikke Christensen,ric@mariehjem.dk,57670750,55.917.481 kr.,1.089.469 kr.,1.503.100 kr.,33.304.176 kr.,4.379.593 kr.,-12 %,"1,95 %","79,91 %","6,2 %","5,1 %",55.450731,11.810174
Else Hus - Sol 1 (Bo- og dagtilbud Else Hus),"Skelbakken 8
    

    2690 Karlslunde","Godkendt
        01-04-2025",12.141 - 12.141 kr.,"Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
            ingen ledige",Jette Irene Kofoed,jeik@regionsjaelland.dk,46161822,43.812.588 kr.,-164.226 kr.,1.257.897 kr.,26.032.624 kr.,6.649.308 kr.,,"-0,37 %","83,62 %","4,76 %","0,23 %",55.567252,12.239626
Else Hus - Sol 2 (Bo- og dagtilbud Else Hus),"Skelbakken 8
    

    2690 Karlslunde","Godkendt
        01-04-2025",12.871 - 12.871 kr.,"Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
            ingen ledige",Jette Irene Kofoed,jeik@regionsjaelland.dk,46161822,43.812.588 kr.,-164.226 kr.,1.257.897 kr.,26.032.624 kr.,6.649.308 kr.,,"-0,37 %","83,62 %","4,76 %","0,23 %",55.567252,12.239626
Else Hus - Boenheder (Bo- og dagtilbud Else Hus),"Skelbakken 8
    

    2690 Karlslunde","Godkendt
        01-04-2025",3.995 - 5.129 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 pladser -
                Kontakt afdelingen om ledige pladser",Jette Irene Kofoed,jeik@regionsjaelland.dk,46161822,43.812.588 kr.,-164.226 kr.,1.257.897 kr.,26.032.624 kr.,6.649.308 kr.,,"-0,37 %","83,62 %","4,76 %","0,23 %",55.567252,12.239626
Ungehuset (Bo- og aflastningstilbud Skelbakken.),"Skelbakken 9
    

    2690 Karlslunde","Godkendt
        20-03-2025",3.907 - 5.512 kr.,"Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    5 - Botilbud til midlertidige ophold, § 107","1 pladser -
                Kontakt afdelingen om ledige pladser",Jette Irene Kofoed,jeik@regionsjaelland.dk,51192718,42.825.757 kr.,-1.282.731 kr.,1.642.765 kr.,22.163.104 kr.,7.279.684 kr.,,-3 %,"80,02 %","4,17 %","26,17 %",55.566425,12.240121
Skelvej (Center for Klub og Bofællesskaber - CKB Syd),"Skelvej 1
    

    2900 Hellerup","Godkendt
        10-06-2024","1.742,64 - 3.620,94 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 pladser -
            ingen ledige",Johannes Rasmussen,kontakt-ckb@gentofte.dk,29353599,7.920.720 kr.,-301.842 kr.,100.000 kr.,5.064.608 kr.,604.630 kr.,,"-3,81 %","85,82 %","6,12 %","13,04 %",55.728196,12.556291
Botilbud Skolegade §105 (Botilbud ASPECT CSBB),"Skolegade 12
    

    2500 Valby","Godkendt
        25-04-2025",600 - 1.249 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","14 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2",ingen ledige,Charlotte Daugaard,e798@kk.dk,27132615,37.642.744 kr.,-2.083.415 kr.,0 kr.,19.441.148 kr.,2.886.810 kr.,,"-5,53 %","63,74 %","15,49 %","19,3 %",55.664491,12.512532
Karisefonden - Team Karise (Karisefonden),"Skolegade 5A
    

    4653 Karise","Godkendt
        25-11-2024","1.783,98 - 3.405,78 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","44 - Botilbud til midlertidige ophold, § 107
                
            
                
                    0 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","44 pladser -
                Kontakt afdelingen om ledige pladser",Signe Holm,sih@karisefonden.dk,54550347,89.885.947 kr.,3.480.840 kr.,3.212.985 kr.,40.772.774 kr.,3.226.187 kr.,"46,9 %","3,87 %","61,89 %","15,67 %","15,46 %",55.307267,12.195579
Stribehus,"Skolevang 2
    

    4060 Kirke Såby","Godkendt
        03-02-2025","2.229,5 - 6.688,49 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til midlertidige ophold, § 107","5 - Botilbud til længerevarende ophold, § 108
                
            
                
                    5 - Aktivitets- og samværstilbud, § 104
                
            
                
                    0 - Botilbud til midlertidige ophold, § 107","5 pladser -
            ingen ledige",Malene Andersen,kontakt@stribehus.dk,23438374,,,,,,,,,,,55.650406,11.821072
HOS Kollegiet (HOS Hjem),"Skolevej 10A
    

    4450 Jyderup","Godkendt
        17-03-2025","2.039,65 - 2.460,37 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","10 - Botilbud til midlertidige ophold, § 107
                
            
                
                    5 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","10 pladser -
                Kontakt afdelingen om ledige pladser",Mia Alfred Andersen,visitation@hjemogskole.dk,71742707,51.187.571 kr.,2.447.090 kr.,0 kr.,29.530.619 kr.,2.940.856 kr.,"34,4 %","4,78 %","65,36 %","9,6 %",22 %,55.656817,11.397376
Habitus Huset Hesselager,"Skolevej 19
    

    5874 Hesselager","Godkendt
        06-11-2024","1.859,35 - 9.829,06 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","10 - Aktivitets- og samværstilbud, § 104
                
            
                
                    5 - Botilbud til midlertidige ophold, § 107
                
            
                
                    5 - Botilbud til længerevarende ophold, § 108","5 pladser -
                Kontakt afdelingen om ledige pladser",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,,,,,,,,,,,55.175598,10.745422
Den gamle skole (Atriumhus),"Skolevej 8
    

    4470 Svebølle","Godkendt
        11-10-2024","3.027,04 - 3.027,04 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","3 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    3 - Botilbud til midlertidige ophold, § 107","3 pladser -
                Kontakt afdelingen om ledige pladser",Christin Maria Meikl,info@atriumhus.dk,28926379,14.800.278 kr.,-483.074 kr.,713.596 kr.,7.322.001 kr.,704.804 kr.,"54,64 %","-3,26 %","77,4 %","8,49 %",19 %,55.649386,11.290633
"Altiden Skotlandsgade 15, 23, 25 (Altiden Vivamus Børn og Unge)","Skotlandsgade 15
    

    2300 København S","Godkendt
        11-12-2024","10.024,63 - 10.024,63 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    2 - Botilbud til midlertidige ophold, § 107","2 pladser -
                Kontakt afdelingen om ledige pladser",Bettina Råschou,bettina.raschou@altiden.dk,31190955,39.317.764 kr.,-7.113.740 kr.,0 kr.,22.356.565 kr.,6.560.739 kr.,"15,26 %","-18,09 %","79,65 %","12,74 %",25 %,55.657593,12.603804
