Navn,Adresse,Latitude,Longitude,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon
§103 / §104 Håndværkerliv (Fonden Det Private Botilbud),"Østergade 3, 1. 
  

  4270 Høng",55.5087961,11.2901411,"Godkendt
  04-03-2025","829,98 - 1.416,69 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","4 - Aktivitets- og samværstilbud, § 104
  
  
  
  4 - Beskyttet beskæftigelsestilbud, § 103","4 pladser -
  Kontakt afdelingen om ledige pladser",Søren Olsen,soeren.o@detprivatebotilbud.dk,30521720
§103/104 Cafe Liv (Fonden Det Private Botilbud),"Hovedgaden 18
  

  4270 Høng",55.5087979,11.288104,"Godkendt
  04-03-2025","1.659,96 - 2.833,38 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","2 - Aktivitets- og samværstilbud, § 104
  
  
  
  5 - Beskyttet beskæftigelsestilbud, § 103","5 pladser -
  Kontakt afdelingen om ledige pladser",Søren Olsen,soeren.o@detprivatebotilbud.dk,30521720
Aktivitetshuset Kjellerup (Aktivitetstilbuddet Kernen),"Sindingsgade 13
  

  8620 Kjellerup",56.2896886,9.4327734,"Godkendt
  07-04-2025",166 - 843 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","9 - Aktivitets- og samværstilbud, § 104
  
  
  
  0 - Beskyttet beskæftigelsestilbud, § 103","0 pladser -
  ingen ledige",Lene Bach,LeneSkovgaard.Bach@silkeborg.dk,40493582
Bofællesskabet Reinsholmgård,"Melbyvej 63
  

  3370 Melby",56.0004935,11.9773684,"Godkendt
  25-04-2025","0 - 9.295,37 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","3 - Botilbud til længerevarende ophold, § 108
  
  
  
  6 - Aktivitets- og samværstilbud, § 104","6 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 3 pladser forbeholdt beboere på botilbuddet",Frank Demolade Spring,frank@bopaagaarden.dk,61788254
Bækkebo - afdeling 26 (Fonden Bækkebo),"Vestbygade 26
  

  9610 Nørager",56.7849278,9.6778812,"Godkendt
  24-06-2024","892,94 - 1.392,84 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","13 - Aktivitets- og samværstilbud, § 104
  
  
  
  12 - Beskyttet beskæftigelsestilbud, § 103","12 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 8 pladser forbeholdt beboere på botilbuddet",Flemming Jeppesen,flemmingj@baekke-bo.dk,21733431
"Center for Autisme; AVA, beskyttet beskæftigelse/dagaktivitetstilbud","Herlev Hovedgade 199
  

  2730 Herlev",55.7247065,12.4233015,"Godkendt
  03-12-2024","887,22 - 1.032,06 kr.","Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","35 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  15 - Aktivitets- og samværstilbud, § 104","15 pladser -
  Kontakt afdelingen om ledige pladser",Susanne Haals,SRY@incita.dk,26348899
Det gamle Apotek (BostedDanmark),"Ny Ulsevej 17
  

  4690 Haslev",55.2957386,12.0018829,"Godkendt
  16-11-2024","2.198,02 - 6.593,09 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","7 - Aktivitets- og samværstilbud, § 104
  
  
  
  7 - Botilbud til længerevarende ophold, § 108","7 pladser -
  Kontakt afdelingen om ledige pladser",René Keldorff,rene@bosteddanmark.dk,26747191
"Drosselvej (Center for Socialpsykiatri, ADHD og Autisme)","Drosselvej 9
  

  6900 Skjern",55.9460584,8.5080298,"Godkendt
  16-01-2025",269 - 825 kr.,"Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","5 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  5 - Aktivitets- og samværstilbud, § 104","5 pladser -
  ingen ledige",Tina Ebdrup Lundorff Skole,tina.ebdrup@rksk.dk,20614690
Fonden SOVI,"Transformervej 13
  

  2860 Søborg",55.7337196,12.4658636,"Godkendt
  25-04-2025","0 - 1.347,05 kr.","Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","48 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  5 - Aktivitets- og samværstilbud, § 104","5 pladser -
  ingen ledige",Majbrit Gulli Bogø,mb@sovi.dk,24763633
Green Care Beskæftigelse (Brahetrolleborg Green Care),"Brahesvej 14
  

  5600 Faaborg",55.1257466,10.231048,"Godkendt
  28-03-2025","441,57 - 441,59 kr.","Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","18 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  15 - Aktivitets- og samværstilbud, § 104","18 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 3 pladser forbeholdt beboere på botilbuddet",Lise Kristensen,lhk@btgc.dk,54588777
Habitus Huset Nørkær (Habitus Husene Fjelsted),"Nørkær 30
  

  9480 Løkken",57.3465269,9.7876513,"Godkendt
  16-05-2024","1.933,76 - 15.155,24 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","1 - Aktivitets- og samværstilbud, § 104
  
  
  
  1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,20610241
Habitus Huset Tyvhøjvej (HabitusHusene Søren Kannes Vej),"Tyvhøjvej 2
  

  8500 Grenaa",56.4299034,10.8578256,"Godkendt
  10-03-2025","4.927,41 - 11.015,84 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","1 - Botilbud til længerevarende ophold, § 108
  
  
  
  1 - Aktivitets- og samværstilbud, § 104","1 pladser -
  ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,20610241
"I.T.C., Køge","Værkstedsvej 5
  

  4600 Køge",55.5012734,12.1889209,"Godkendt
  23-02-2024",148 - 580 kr.,"Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","52 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  48 - Aktivitets- og samværstilbud, § 104","48 pladser -
  Kontakt afdelingen om ledige pladser",Niels Nikolaj Bødker,niels.bodker@koege.dk,56653280
Kraftværket Captum (Dagtilbuddet Captum),"Vordingborggade 15
  

  2100 København Ø",55.7081253,12.5803287,"Godkendt
  10-07-2023",1.044 - 1.044 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","19 - Aktivitets- og samværstilbud, § 104
  
  
  
  55 - Beskyttet beskæftigelsestilbud, § 103","19 pladser -
  Kontakt afdelingen om ledige pladser",Vibeke Jessen,KU3T@kk.dk,23811241
Levuk,"Milnersvej 39A
  

  3400 Hillerød",55.9205044,12.2986321,"Godkendt
  21-04-2015","198,43 - 513 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Særlige klubtilbud, § 82, jf. § 84","50 - Aktivitets- og samværstilbud, § 104
  
  
  
  50 - Særlige klubtilbud, § 82, jf. § 84","50 pladser -
  Kontakt afdelingen om ledige pladser",Benjamin Goings,bego@levuk.dk,48244217
Lærken (Center for Handicap - Bo og Beskæftigelse),"Sophie Magdelenes Vej 7
  

  3460 Birkerød",55.8461234,12.46421,"Godkendt
  27-01-2016",1.000 - 1.000 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","13 - Aktivitets- og samværstilbud, § 104
  
  
  
  0 - Beskyttet beskæftigelsestilbud, § 103","0 pladser -
  Kontakt afdelingen om ledige pladser",Jens Peter Sorring,JPSO@rudersdal.dk,46113650
Perronen,"Langelandsvej 22
  

  5500 Middelfart",55.504331,9.764508,"Godkendt
  02-06-2021",384 - 524 kr.,"Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","30 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  17 - Aktivitets- og samværstilbud, § 104","17 pladser -
  ingen ledige",Peter Wolfgramm,peter.wolfgramm@middelfart.dk,40313848
Schouholm,"Åmosevej 1
  

  4450 Jyderup",55.6158792,11.396223,"Godkendt
  27-06-2024","784,19 - 1.518,77 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","4 - Aktivitets- og samværstilbud, § 104
  
  
  
  8 - Beskyttet beskæftigelsestilbud, § 103","4 pladser -
  Kontakt afdelingen om ledige pladser",Charlotte Bruno-Johansen,charlotte@schouholm.dk,40300550
Solgården (Sol- og Sagagården),"Oddervej 247A
  

  8270 Højbjerg",56.0981068,10.2141832,"Godkendt
  24-03-2025",1.416 - 5.367 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","6 - Aktivitets- og samværstilbud, § 104
  
  
  
  6 - Botilbud til længerevarende ophold, § 108","6 pladser -
  ingen ledige",Camilla Madsen,cav@msb.aarhus.dk,41854172
Værksted Væksthuset,"Viren 6
  

  9310 Vodskov",57.1135544,10.0288075,"Godkendt
  09-11-2022",297 - 830 kr.,"Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","4 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  24 - Aktivitets- og samværstilbud, § 104","4 pladser -
  Kontakt afdelingen om ledige pladser",Jeanette Hurley,fagc-saerl-tilbud@aalborg.dk,20699802
§103 / §104 Naturliv (Fonden Det Private Botilbud),"Østergade 3, 1. 
  

  4270 Høng",55.5087961,11.2901411,"Godkendt
  04-03-2025","829,98 - 1.416,69 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","3 - Aktivitets- og samværstilbud, § 104
  
  
  
  3 - Beskyttet beskæftigelsestilbud, § 103","3 pladser -
  Kontakt afdelingen om ledige pladser",Søren Olsen,soeren.o@detprivatebotilbud.dk,30521720
§103/104 Det skæve folkekøkken (Fonden Det Private Botilbud),"Hovedgaden 18
  

  4270 Høng",55.5087979,11.288104,"Godkendt
  04-03-2025","1.659,96 - 2.833,38 kr.","Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","2 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  2 - Aktivitets- og samværstilbud, § 104","2 pladser -
  Kontakt afdelingen om ledige pladser",Søren Olsen,soeren.o@detprivatebotilbud.dk,30521720
Aktivitetstilbuddet Marie Magdalene,"Vestergade 116B
  

  8550 Ryomgård",56.3832166,10.4799541,"Godkendt
  02-04-2025","414,5 - 1.284,96 kr.","Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","24 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  19 - Aktivitets- og samværstilbud, § 104","19 pladser -
  ingen ledige",Sandy Dalum,sadm@syddjurs.dk,29221903
Aktivitetstilbuddet Skovly (Aktivitetstilbuddet Marie Magdalene),"Randersvej 85
  

  8544 Mørke",56.3606377,10.332811,"Godkendt
  02-04-2025","414,5 - 1.284,96 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","19 - Aktivitets- og samværstilbud, § 104
  
  
  
  24 - Beskyttet beskæftigelsestilbud, § 103","19 pladser -
  ingen ledige",Sandy Dalum,sadm@syddjurs.dk,29221903
Birkelund,"Fyrrevej 8
  

  7400 Herning",56.132121,8.946711,"Godkendt
  17-06-2014",58 - 292 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","24 - Aktivitets- og samværstilbud, § 104
  
  
  
  6 - Beskyttet beskæftigelsestilbud, § 103","6 pladser -
  ingen ledige",Hanne Wisler Munk,hanne.munk@herning.dk,21488064
Center for Beskæftigelse og Rehabilitering,"Ydervangen 1
  

  8920 Randers NV",56.4846753,10.0231129,"Godkendt
  25-10-2024",133 - 536 kr.,"Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","125 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  3 - Aktivitets- og samværstilbud, § 104","125 pladser -
  Kontakt afdelingen om ledige pladser",Annette Engelbret-Pedersen,aep@randers.dk,29161861
Dagtilbud Nordstjernen (Dagtilbud),"Øresundsvej 13
  

  9990 Skagen",57.7260173,10.5657353,"Godkendt
  27-04-2016",479 - 479 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","19 - Aktivitets- og samværstilbud, § 104
  
  
  
  6 - Beskyttet beskæftigelsestilbud, § 103","19 pladser -
  Kontakt afdelingen om ledige pladser",Helle Skovgaard Mortensen,hsmo@frederikshavn.dk,23826014
Diagergård beskæftigelse,"Bramdrup Vestergade 9
  

  6100 Haderslev",55.2892993,9.4398617,"Godkendt
  26-02-2015",475 - 475 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","2 - Aktivitets- og samværstilbud, § 104
  
  
  
  9 - Beskyttet beskæftigelsestilbud, § 103","9 pladser -
  ingen ledige",Mette Pedersen,mbpd@haderslev.dk,24778843
Fredskovvej,"Fredskovvej 3
  

  4293 Dianalund",55.5301462,11.5100308,"Godkendt
  24-02-2025",2.483 - 5.076 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","12 - Aktivitets- og samværstilbud, § 104
  
  
  
  12 - Botilbud til længerevarende ophold, § 108","12 pladser -
  Kontakt afdelingen om ledige pladser",Bo Pihl,A03E@kk.dk,23837955
Habitus Huset Brædstrup (Habitus Huset Nordahl),"Åstruplundvej 2
  

  8740 Brædstrup",55.9567079,9.5900667,"Godkendt
  12-01-2025","1.933,76 - 18.704,12 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","1 - Aktivitets- og samværstilbud, § 104
  
  
  
  1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 1 pladser forbeholdt beboere på botilbuddet",Elizabeth Bergstrøm,ehb@habitus.dk,25257069
Habitus Huset Nordahl,"Sønderkærvej 5
  

  7160 Tørring",55.8783124,9.5483623,"Godkendt
  12-01-2025","882,45 - 4.052,59 kr.","Botilbud til midlertidige ophold, § 107
  
  
  
  Aktivitets- og samværstilbud, § 104","6 - Botilbud til midlertidige ophold, § 107
  
  
  
  8 - Aktivitets- og samværstilbud, § 104","8 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 6 pladser forbeholdt beboere på botilbuddet",Elizabeth Bergstrøm,ehb@habitus.dk,25257069
Industrivej (Dagsværket),"Industrivej 43
  

  7620 Lemvig",56.5420795,8.2963072,"Godkendt
  16-02-2022",283 - 435 kr.,"Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","5 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  50 - Aktivitets- og samværstilbud, § 104","5 pladser -
  Kontakt afdelingen om ledige pladser",Helle Laursen,helle.roenn.laursen@lemvig.dk,24246325
Mediehuset Juno Kraftværket Captum (Dagtilbuddet Captum),"Vordingborggade 15
  

  2100 København Ø",55.7081253,12.5803287,"Godkendt
  10-07-2023",370 - 370 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","22 - Aktivitets- og samværstilbud, § 104
  
  
  
  0 - Beskyttet beskæftigelsestilbud, § 103","22 pladser -
  Kontakt afdelingen om ledige pladser",Vibeke Jessen,KU3T@kk.dk,23811241
Netværksgrupper på Center for Autisme,"Herlev Hovedgade 199
  

  2730 Herlev",55.7247065,12.4233015,"Godkendt
  03-12-2024","70,15 - 73,53 kr.","Særlige klubtilbud, § 82, jf. § 84
  
  
  
  Aktivitets- og samværstilbud, § 104","20 - Særlige klubtilbud, § 82, jf. § 84
  
  
  
  80 - Aktivitets- og samværstilbud, § 104","80 pladser -
  Kontakt afdelingen om ledige pladser",Irene Schumann,isc@centerforautisme.dk,28185946
Paletten,"Toften 600C
  

  5330 Munkebo",55.464413,10.5788464,"Godkendt
  18-12-2024",554 - 1.290 kr.,"Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","15 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  41 - Aktivitets- og samværstilbud, § 104","15 pladser -
  Kontakt afdelingen om ledige pladser",Minna Vig,mvs@kerteminde.dk,30449716
"Pile Allé 2 (Udviklingscenter Vest, Beskæftigelsen, Pile Allé 2)","Pile Alle 2
  

  6760 Ribe",55.3264747,8.7711689,"Godkendt
  14-11-2016",154 - 654 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","8 - Aktivitets- og samværstilbud, § 104
  
  
  
  20 - Beskyttet beskæftigelsestilbud, § 103","20 pladser -
  ingen ledige",Morten Jensen,ucv@esbjerg.dk,76168400
RÅD OG DÅD SMBA,"Blushøj 4
  

  9460 Brovst",57.0541476,9.4560257,"Godkendt
  23-11-2023","1.221,12 - 1.230,66 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","10 - Aktivitets- og samværstilbud, § 104
  
  
  
  32 - Beskyttet beskæftigelsestilbud, § 103","32 pladser -
  Kontakt afdelingen om ledige pladser",Navnet er hemmeligt,,
Tornsbjerggårdfonden Tornsbjergvej 98 (Tornsbjerggårdfonden),"Tornsbjergvej 98
  

  8350 Hundslund",55.9515757,10.0348901,"Godkendt
  12-12-2024","592,43 - 592,43 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","27 - Aktivitets- og samværstilbud, § 104
  
  
  
  5 - Beskyttet beskæftigelsestilbud, § 103","5 pladser -
  ingen ledige",Gitte Henriksen,Gitte@tornsbjerggaard.dk,86550405
"Uddannelse og Beskæftigelse (Thorshøjgård, Bo- og uddannelsestilbud.)","Pedersborgvej 20
  

  2635 Ishøj",55.6313396,12.2655052,"Godkendt
  19-12-2024","1.029,37 - 1.029,37 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","14 - Aktivitets- og samværstilbud, § 104
  
  
  
  4 - Beskyttet beskæftigelsestilbud, § 103",Kontakt afdelingen om ledige pladser,Rikke Mathiesen,rm@thgmail.dk,20186667
Væksthuset Aflastning (Behandlingstilbuddene Væksthuset ApS),"Lendrupvej 29
  

  9670 Løgstør",56.9396409,9.2416006,"Godkendt
  09-10-2024","772,74 - 4.763,48 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  Aktivitets- og samværstilbud, § 104","3 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  8 - Aktivitets- og samværstilbud, § 104","8 pladser -
  Kontakt afdelingen om ledige pladser",Chris Severinsen,cs@skhv.dk,28886334
Værksteder (Tinnetgaard Bo-og Erhvervsskole),"Hammervej 28
  

  7173 Vonge",55.8984473,9.4016294,"Godkendt
  26-07-2022","365,75 - 799,82 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","4 - Aktivitets- og samværstilbud, § 104
  
  
  
  10 - Beskyttet beskæftigelsestilbud, § 103","4 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 4 pladser forbeholdt beboere på botilbuddet",Brian Hansen,brian@tinnetgaard.dk,27522948
Østervang (Nødebogård),"Østervang 87
  

  3400 Hillerød",55.9338995,12.3432976,"Godkendt
  20-08-2024",595 - 2.186 kr.,"Botilbud til midlertidige ophold, § 107
  
  
  
  Aktivitets- og samværstilbud, § 104","6 - Botilbud til midlertidige ophold, § 107
  
  
  
  6 - Aktivitets- og samværstilbud, § 104","6 pladser -
  Kontakt afdelingen om ledige pladser",Tine Stryhn,tine.stryhn@regionh.dk,38668080
Bagsvinget (Fonden Team Golå),"Kragelundsvinget 4
  

  8600 Silkeborg",56.1925182,9.4082796,"Godkendt
  04-02-2025","807,08 - 807,08 kr.","Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","3 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  7 - Aktivitets- og samværstilbud, § 104","7 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 5 pladser forbeholdt beboere på botilbuddet",Annette Marie Jensen,info@team-golaa.dk,29368577
Bakkehuset,"Fuglemosevej 13
  

  8620 Kjellerup",56.2846133,9.4236612,"Godkendt
  14-11-2024",310 - 2.987 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  Aktivitets- og samværstilbud, § 104","16 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  8 - Aktivitets- og samværstilbud, § 104","8 pladser -
  ingen ledige",Kirsten Filtenborg,KirstenBoegh.Filtenborg@silkeborg.dk,91170813
Bakkelund- en rummelig arbejdsplads ApS,"Aavej 53
  

  5856 Ryslinge",55.2285281,10.5369866,"Godkendt
  23-05-2024","402,59 - 615,33 kr.","Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","1 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  13 - Aktivitets- og samværstilbud, § 104","13 pladser -
  Kontakt afdelingen om ledige pladser",Sarah Rasmussen,sr@bakkelund-ryslinge.dk,29253927
CSU Egedammens Fritidsordning,"Skovledet 14
  

  3400 Hillerød",55.9275539,12.3347866,"Godkendt
  18-11-2015",328 - 492 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Særlige klubtilbud, § 82, jf. § 84","16 - Aktivitets- og samværstilbud, § 104
  
  
  
  6 - Særlige klubtilbud, § 82, jf. § 84","16 pladser -
  ingen ledige",Lisbeth Jensen,lijn@hillerod.dk,72323906
CSV Odense - Klub Nova,"Rismarksvej 80
  

  5200 Odense V",55.4022276,10.3393907,"Godkendt
  03-11-2016",456 - 544 kr.,"Særlige klubtilbud, § 82, jf. § 84
  
  
  
  Aktivitets- og samværstilbud, § 104","3 - Særlige klubtilbud, § 82, jf. § 84
  
  
  
  30 - Aktivitets- og samværstilbud, § 104","3 pladser -
  Kontakt afdelingen om ledige pladser",Christen Seerup,csee@odense.dk,29291488
Dagtilbud Gimle (Dagtilbud),"Baldersvej 11
  

  9900 Frederikshavn",57.4308441,10.4960056,"Godkendt
  27-04-2016",391 - 391 kr.,"Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","20 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  80 - Aktivitets- og samværstilbud, § 104","80 pladser -
  Kontakt afdelingen om ledige pladser",Helle Skovgaard Mortensen,hsmo@frederikshavn.dk,23826014
Dagtilbuddet Broby (Det Socialfaglige Område),"Egeballe 4
  

  5672 Broby",55.256033,10.235524,"Godkendt
  23-04-2014",727 - 727 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","72 - Aktivitets- og samværstilbud, § 104
  
  
  
  18 - Beskyttet beskæftigelsestilbud, § 103","72 pladser -
  Kontakt afdelingen om ledige pladser",Mette Johansen,mejoh@fmk.dk,72538933
Dagtilbuddet Bybjerggaard,"Torpmaglevejen 75
  

  3390 Hundested",55.974941,11.9134701,"Godkendt
  21-11-2023","523,51 - 523,51 kr.","Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","5 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  5 - Aktivitets- og samværstilbud, § 104","5 pladser -
  Kontakt afdelingen om ledige pladser",Jesper Reinholdt Hansen,Bybjerggaard@outlook.dk,40144041
Den Selvejende Institution Lovnsbjergvang,"Lovnsbjergvej 2
  

  7800 Skive",56.488453,9.0091714,"Godkendt
  17-12-2024","358,44 - 3.892,32 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  Botilbud til midlertidige ophold, § 107","6 - Aktivitets- og samværstilbud, § 104
  
  
  
  2 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  4 - Botilbud til midlertidige ophold, § 107","6 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 2 pladser forbeholdt beboere på botilbuddet",Charlotte Sehested,charlotte@lovnsbjergvang.dk,51238530
Frøgården,"Tømmerupvej 32
  

  4440 Mørkøv",55.6039129,11.5165119,"Godkendt
  09-12-2024","777,51 - 984,53 kr.","Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","4 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  4 - Aktivitets- og samværstilbud, § 104","4 pladser -
  Kontakt afdelingen om ledige pladser",Aino Frølund,froegaardenstu@gmail.com,26130566
Jernstøbervænget 9 (Habitus Huset Jernstøbervænget),"Jernstøbervænget 7
  

  4600 Køge",55.4579921,12.1756537,"Godkendt
  06-03-2025","1.933,76 - 10.303,2 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbud til midlertidige ophold, § 107","4 - Aktivitets- og samværstilbud, § 104
  
  
  
  4 - Botilbud til længerevarende ophold, § 108
  
  
  
  0 - Botilbud til midlertidige ophold, § 107","4 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 4 pladser forbeholdt beboere på botilbuddet",Elizabeth Bergstrøm,ehb@habitus.dk,20610241
Ledestjernen aktiviteter og beskæftigelse (Ledestjernen botilbud og beskæftigelse),"Gamle By 3, 1.  tv
  

  4690 Haslev",55.3234325,11.965481,"Godkendt
  26-06-2024","512,95 - 716,34 kr.","Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","6 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  3 - Aktivitets- og samværstilbud, § 104","6 pladser -
  Kontakt afdelingen om ledige pladser",Anders Olsen,anders@ledestjernen.org,61722730
Levuk Job og Samvær,"Milnersvej 39A
  

  3400 Hillerød",55.9205044,12.2986321,"Godkendt
  05-07-2017","395,91 - 791,82 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","11 - Aktivitets- og samværstilbud, § 104
  
  
  
  11 - Beskyttet beskæftigelsestilbud, § 103","11 pladser -
  Kontakt afdelingen om ledige pladser",Steen Frank Sørensen,ssor@levuk.dk,27528216
Lyngdal,"Tyringevej 5
  

  3460 Birkerød",55.8490526,12.4562942,"Godkendt
  09-12-2024",9.475 - 24.216 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","18 - Aktivitets- og samværstilbud, § 104
  
  
  
  24 - Botilbud til længerevarende ophold, § 108","24 pladser -
  ingen ledige",Line Andersen,Line.Ebbesen.Andersen@regionh.dk,4521518567
